,Country,"Life expectancy at birth, total (years)"
0,Montenegro,76.6829268292683
1,Slovenia,81.5292682926829
2,Senegal,67.668
3,"Egypt, Arab Rep.",71.213
4,Sierra Leone,59.593
5,"Iran, Islamic Rep.",76.855
6,Guyana,69.067
7,Dominica,71.305
8,Russian Federation,73.0839024390244
9,Algeria,75.682
10,Kuwait,81.969756097561
11,Tonga,72.292
12,Tunisia,75.599
13,Ghana,64.455
14,Burundi,62.18
15,British Virgin Islands,76.845
16,South Sudan,58.129
17,Central African Republic,31.53
18,St. Vincent and the Grenadines,70.994
19,Oman,79.946
20,"Venezuela, RB",72.766
21,Burkina Faso,60.184
22,Haiti,64.328
23,India,70.746
24,Ireland,82.7024390243903
25,Finland,81.9829268292683
26,Philippines,69.68
27,Ukraine,73.92
28,Argentina,76.847
29,Kyrgyz Republic,71.6
30,Grenada,74.971
31,Iceland,83.1634146341463
32,Kazakhstan,73.658
33,Channel Islands,81.2
34,"Gambia, The",64.427
35,France,82.8268292682927
36,Sri Lanka,76.698
37,Honduras,72.124
38,Cabo Verde,75.449
39,Indonesia,70.349
40,Niger,60.031
41,Isle of Man,80.74
42,Turkmenistan,69.405
43,"Korea, Dem. People's Rep.",72.928
44,Azerbaijan,73.29
45,Pakistan,66.729
46,Lesotho,55.249
47,Palau,68.982
48,Georgia,74.165
49,Gibraltar,83.183
50,Ethiopia,65.741
51,Cote d'Ivoire,60.274
52,Botswana,67.167
53,United Arab Emirates,82.596
54,Lithuania,76.2829268292683
55,Dominican Republic,73.112
56,Fiji,67.009
57,Angola,63.051
58,Jamaica,71.532
59,Malta,82.6585365853659
60,Singapore,83.5951219512195
61,Aruba,76.019
62,Italy,83.4975609756098
63,Guatemala,71.639
64,Madagascar,63.504
65,Maldives,79.707
66,"Yemen, Rep.",66.567
67,Curacao,76.492
68,Bulgaria,75.1121951219512
69,Greece,81.6390243902439
70,Cameroon,61.695
71,China,77.94
72,Gabon,67.337
73,Thailand,77.197
74,Germany,81.2926829268293
75,Australia,82.9
76,New Caledonia,77.262
77,Brunei Darussalam,75.049
78,Mauritania,67.64
79,Jordan,76.865
80,Somalia,57.249
81,Switzerland,83.9048780487805
82,Costa Rica,80.296
83,Hungary,76.3195121951219
84,Rwanda,66.691
85,"Bahamas, The",71.408
86,Cayman Islands,79.052
87,Japan,84.3563414634146
88,Lebanon,78.208
89,Albania,79.467
90,Guinea-Bissau,62.161
91,French Polynesia,83.195
92,Moldova,70.181
93,North Macedonia,76.6024390243903
94,Libya,72.941
95,Eswatini,59.85
96,Viet Nam,74.211
97,Lao PDR,67.911
98,St. Kitts and Nevis,71.54
99,Brazil,75.809
100,New Zealand,82.0560975609756
101,Uganda,66.354
102,Mali,59.217
103,Bahrain,80.471
104,Luxembourg,82.6390243902439
105,Sint Maarten (Dutch part),75.68
106,Samoa,70.269
107,Sudan,65.803
108,Belgium,81.9951219512195
109,Liechtenstein,84.1609756097561
110,Trinidad and Tobago,72.836
111,Andorra,84.098
112,Croatia,78.2243902439024
113,Mongolia,71.0531707317073
114,Morocco,74.245
115,Zambia,62.914
116,Virgin Islands (U.S.),79.6682926829268
117,United States,78.7878048780488
118,Zimbabwe,61.06
119,Nauru,61.393
120,Qatar,82.945
121,Syrian Arab Republic,70.97
122,"Macao SAR, China",83.9292682926829
123,Denmark,81.4512195121951
124,Namibia,63.546
125,Sweden,83.109756097561
126,Togo,61.055
127,Austria,81.8951219512195
128,Portugal,81.6756097560976
129,Estonia,78.6463414634147
130,San Marino,85.257
131,Kosovo,77.249
132,Northern Mariana Islands,77.844
133,Tajikistan,70.962
134,St. Martin (French part),80.078
135,Slovak Republic,77.6658536585366
136,Chile,80.324
137,Bolivia,67.82
138,American Samoa,72.751
139,Malawi,64.995
140,Belarus,74.2268292682927
141,Canada,82.1636585365854
142,Bosnia and Herzegovina,77.394
143,Cuba,77.413
144,Serbia,75.9365853658537
145,Latvia,75.3878048780488
146,Guam,76.645
147,Bermuda,81.251
148,Antigua and Barbuda,77.168
149,Eritrea,67.306
150,St. Lucia,72.249
151,Greenland,71.9443902439024
152,Chad,52.993
153,Mozambique,61.306
154,Poland,77.9048780487805
155,Nepal,69.299
156,Iraq,71.245
157,Afghanistan,62.941
158,Bhutan,72.005
159,Czechia,79.2292682926829
160,Israel,82.8048780487805
161,Mexico,74.53
162,Uzbekistan,72.093
163,"Congo, Dem. Rep.",60.242
164,Vanuatu,70.783
165,Malaysia,75.9
166,Norway,82.9585365853659
167,Tuvalu,66.109
168,El Salvador,71.725
169,Cambodia,70.127
170,Saudi Arabia,78.313
171,Tanzania,66.007
172,Turks and Caicos Islands,77.691
173,Equatorial Guinea,62.297
174,Liberia,61.232
175,Monaco,86.151
176,Ecuador,77.286
177,Mauritius,74.2358536585366
178,Solomon Islands,69.981
179,Comoros,65.662
180,Suriname,71.773
181,Nigeria,53.009
182,Papua New Guinea,65.331
183,Cyprus,81.454
184,Seychelles,74.0463414634146
185,Myanmar,66.457
186,Armenia,76.2219512195122
187,South Africa,66.071
188,West Bank and Gaza,75.811
189,Djibouti,64.381
190,Bangladesh,72.625
191,"Hong Kong SAR, China",85.1558536585366
192,"Korea, Rep.",83.2268292682927
193,Kiribati,65.866
194,Paraguay,73.668
195,Sao Tome and Principe,68.043
196,Marshall Islands,66.047
197,Belize,72.577
198,Faroe Islands,82.4439024390244
199,Peru,76.275
200,Puerto Rico (US),81.438
201,Spain,83.8317073170732
202,Nicaragua,73.764
203,Romania,75.6073170731707
204,Timor-Leste,66.496
205,Panama,78.514
206,"Congo, Rep.",63.152
207,Guinea,59.379
208,Turkiye,77.737
209,Uruguay,77.503
210,Barbados,76.495
211,Benin,59.888
